TimeInSeconds,FrameTimeMs,FPS
9.37847,10.09,99.15
9.38855,10.16,98.40
9.39871,9.66,103.57
9.40837,10.81,92.47
9.41918,10.21,97.95
9.42939,10.73,93.17
9.44013,10.56,94.72
9.45068,10.11,98.90
9.46079,10.79,92.65
9.47159,10.20,98.01
9.48179,9.68,103.32
9.49147,10.33,96.76
9.50180,11.16,89.64
9.51296,10.55,94.78
9.52351,9.37,106.69
9.53288,11.01,90.81
9.54389,10.38,96.35
9.55427,10.70,93.44
9.56497,10.91,91.62
9.57589,11.82,84.60
9.58771,10.95,91.35
9.59866,10.48,95.39
9.60914,10.60,94.34
9.61974,10.60,94.31
9.63034,10.21,97.97
9.64055,12.96,77.17
9.65351,10.90,91.74
9.66441,10.83,92.37
9.67524,9.58,104.40
9.68481,11.53,86.71
9.69635,11.14,89.76
9.70749,44.80,22.32
9.75229,7.09,140.96
9.75938,10.32,96.93
9.76970,9.39,106.50
9.77909,9.90,101.02
9.78899,10.47,95.49
9.79946,10.10,98.99
9.80956,10.97,91.19
9.82053,11.82,84.59
9.83235,8.71,114.83
9.84106,9.17,109.00
9.85023,10.04,99.60
9.86027,9.71,103.01
9.86998,9.71,102.95
9.87969,9.37,106.77
9.88906,12.64,79.14
9.90169,10.92,91.59
9.91261,10.31,96.98
9.92292,9.90,100.97
9.93283,11.33,88.29
9.94415,10.68,93.65
9.95483,11.23,89.02
9.96607,11.44,87.40
9.97751,9.88,101.18
9.98739,9.68,103.34
9.99707,9.67,103.42
10.00674,9.92,100.80
10.01666,10.06,99.37
10.02672,9.55,104.68
10.03628,12.69,78.78
10.04897,10.05,99.51
10.05902,10.74,93.09
10.06976,9.87,101.35
10.07963,10.04,99.62
10.08967,9.08,110.16
10.09874,9.64,103.70
10.10839,10.06,99.36
10.11845,9.98,100.24
10.12843,9.97,100.35
10.13839,9.90,100.98
10.14829,10.16,98.46
10.15845,10.20,98.01
10.16865,10.68,93.67
10.17933,12.04,83.05
10.19137,12.71,78.66
10.20408,12.84,77.89
10.21692,10.12,98.84
10.22704,9.92,100.76
10.23696,10.12,98.82
10.24708,10.83,92.31
10.25792,13.44,74.42
10.27135,11.24,89.00
10.28259,11.31,88.41
10.29390,10.00,99.99
10.30390,13.37,74.79
10.31727,13.43,74.44
10.33071,9.39,106.50
10.34010,10.77,92.88
10.35086,10.34,96.70
10.36120,10.03,99.70
10.37123,9.51,105.20
10.38074,10.56,94.67
10.39130,9.97,100.35
10.40127,9.71,102.99
10.41098,9.10,109.93
10.42007,11.32,88.36
10.43139,10.63,94.05
10.44202,9.48,105.49
10.45150,11.06,90.44
10.46256,9.67,103.46
10.47222,9.63,103.85
10.48185,9.64,103.75
10.49149,10.22,97.89
10.50171,8.71,114.84
10.51042,10.35,96.62
10.52077,10.28,97.32
10.53104,11.25,88.89
10.54229,11.10,90.11
10.55339,13.89,71.98
10.56728,11.73,85.25
10.57901,14.65,68.28
10.59366,10.46,95.61
10.60412,10.62,94.16
10.61474,9.87,101.34
10.62461,9.70,103.13
10.63430,12.14,82.36
10.64644,10.19,98.14
10.65663,14.52,68.87
10.67115,11.49,87.01
10.68265,10.64,93.99
10.69329,10.61,94.26
10.70390,11.09,90.20
10.71498,11.44,87.40
10.72642,9.05,110.52
